Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Harry Edwards,West Coast,42,26,26.24,200,Key Defender,2020,55,0,0,,16,0,7.996,58.364,9.364,3.527,0,8.69,57.6,8.9,3.4,0
Harry Schoenberg,West Coast,48,25,25.85,180,Midfielder,2020,62,22,0,,1,0,7.582,60.855,15.468,6.468,0.355,6.855,52.2,13.15,5.4,0.3
Harvey Johnston,West Coast,24,21,21.36,185,Gen. Defender,2024,6,0,0,,0,,3.933,30.667,8.5,2.667,0,3.933,30.667,8.5,2.667,0
Jack Graham,West Coast,17,28,28.84,181,Mid-Forward,2017,149,53,11,4,18,2,9.37,75.819,16.799,6.349,0.356,10.615,85.5,19,8.2,0.2
Jack Hutchinson,West Coast,44,25,25.13,190,Midfielder,2024,23,3,0,,16,1,5.048,54.348,11.957,4.478,0.13,4.995,56.5,13.1,4.75,0.15
Jack Williams,West Coast,34,23,23.08,198,Key Forward,2022,42,37,0,,13,16,5.317,47.81,7.667,3.69,0.881,6.405,55.8,8.85,4.4,1.15
Jacob Newton,West Coast,46,20,20.78,178,Key Forward,2025,2,1,0,,2,1,2.9,25.5,3,1.5,0.5,2.9,25.5,3,1.5,0.5
Jake Waterman,West Coast,2,28,28.65,192,Key Forward,2018,112,149,3,2,8,17,6.972,62.438,11.491,3.321,1.33,8.29,69.95,11.15,3.1,2.3
Jamie Cripps,West Coast,15,34,34.69,184,Gen. Forward,2011,272,335,12,13,21,24,9.098,68.305,12.985,4.754,1.232,7.495,61.2,11.15,3.9,1.2
Jobe Shanahan,West Coast,35,20,20.41,195,Key Forward,2025,9,12,0,,9,12,4.633,50.222,7.667,3.333,1.333,4.633,50.222,7.667,3.333,1.333
Josh Lindsay,West Coast,5,19,19.73,183,Gen. Defender,,0,,,,0,,,,,,,,,,,
Liam Baker,West Coast,3,28,28.92,173,Gen. Defender,2018,151,59,8,1,23,5,9.922,79.358,18.821,7.311,0.391,11.55,92.3,22,9.35,0.25
Liam Duggan,West Coast,14,30,30.05,186,Gen. Defender,2015,200,15,6,0,21,0,7.788,73.465,18.245,4.795,0.075,8.14,80.15,20.25,3.95,0
Lucca Grego,West Coast,31,20,20.29,184,Gen. Defender,2025,1,0,0,,1,0,3.6,59,14,6,0,3.6,59,14,6,0
Malakai Champion,West Coast,37,20,20.62,172,Gen. Forward,2025,2,0,0,,2,0,2.15,19,6.5,2,0,2.15,19,6.5,2,0
Matt Flynn,West Coast,25,29,29.29,202,Ruck,2021,55,17,0,,18,6,10.809,83.309,11.655,7.382,0.309,8.815,79.5,12.1,7.1,0.3
Matthew Owies,West Coast,16,29,29.78,179,Gen. Forward,2020,88,96,2,2,16,7,6.162,51.989,8.92,3.807,1.091,4.275,45.25,9.15,3.75,0.65
Noah Long,West Coast,13,22,22.35,179,Gen. Forward,2023,36,12,0,,10,3,5.072,46.528,9.889,3.972,0.333,3.735,42.35,9.25,3.2,0.25
Reuben Ginbey,West Coast,7,22,22.3,191,Gen. Defender,2023,63,2,0,,23,0,8.559,68.349,14.302,6.302,0.032,8.415,70.3,13.45,5.45,0
Rhett Bazzo,West Coast,33,23,23.2,195,Key Defender,2022,28,0,0,,7,0,3.429,40.321,9.5,2.714,0,3.56,40.9,9.6,2.85,0
Ryan Maric,West Coast,23,22,22.31,196,Gen. Defender,2023,51,17,0,,22,1,6.547,62.941,14.608,3.863,0.333,7.8,88.4,21.25,4.3,0.05
Sam Allen,West Coast,12,19,19.96,183,Mid-Forward,,0,,,,0,,,,,,,,,,,
Sandy Brock,West Coast,41,24,24.04,198,Key Defender,2025,14,0,0,,14,0,8.671,62.5,11,3.857,0,8.671,62.5,11,3.857,0
Tim Kelly,West Coast,11,32,32.43,184,Mid-Forward,2018,164,84,5,7,20,5,11.837,92.585,23.402,10.701,0.512,8.735,74.2,17.6,7.65,0.25
Tom Cole,West Coast,28,29,29.59,188,Gen. Defender,2016,131,5,4,0,18,1,6.702,62.847,13.74,4.42,0.038,8.58,75,16,4.7,0.05
Tom Gross,West Coast,27,20,20.29,183,Mid-Forward,2025,8,1,0,,8,1,3.475,36.25,8.75,3.75,0.125,3.475,36.25,8.75,3.75,0.125
Tom McCarthy,West Coast,18,26,26.47,187,Gen. Defender,2025,10,0,0,,10,0,10.3,93.3,23.6,6.2,0,10.3,93.3,23.6,6.2,0
Tylah Williams,West Coast,36,19,19.85,175,Gen. Forward,,0,,,,0,,,,,,,,,,,
Tylar Young,West Coast,20,28,28.32,196,Key Defender,2023,35,0,0,,7,0,7.697,54.229,10.2,3.429,0,7.54,56.1,10.95,3.1,0
Tyler Brockman,West Coast,10,24,24.1,180,Gen. Forward,2021,56,38,0,,20,14,6.879,49.25,10.304,4.214,0.679,7.07,52.95,11.4,5.35,0.7
Tyrell Dewar,West Coast,43,22,22.76,185,Midfielder,2024,23,10,0,,16,5,5.465,41.304,11.217,2.522,0.435,5.995,45.4,12.25,2.85,0.45
Willem Duursma,West Coast,1,19,19.52,191,Midfielder,,0,,,,0,,,,,,,,,,,
Aaron Naughton,Western Bulldogs,33,27,27.08,196,Key Forward,2018,166,286,8,13,23,60,9.29,70.711,11.114,5.819,1.723,10.615,82.15,11.85,5.6,2.8
Adam Treloar,Western Bulldogs,1,33,33.81,185,Mid-Forward,2012,258,156,14,6,4,2,13.302,102.054,27.953,10.671,0.605,15.37,109.55,29.6,10.9,0.75
Arthur Jones,Western Bulldogs,32,23,23.45,180,Mid-Forward,2023,18,7,0,,4,2,3.917,31.722,6.944,3.056,0.389,3.917,31.722,6.944,3.056,0.389
Bailey Dale,Western Bulldogs,31,30,30.44,188,Gen. Defender,2015,178,87,7,0,23,4,11.158,83.264,21.253,5.011,0.489,13.845,100.45,27.1,5.6,0.1
Bailey Williams,Western Bulldogs,34,29,29.22,190,Midfielder,2016,174,43,7,1,23,5,8.595,71.414,17.241,4.661,0.247,10.475,80.45,19.65,4.95,0.25
Buku Khamis,Western Bulldogs,24,26,26.77,191,Key Forward,2021,41,20,0,,14,13,5.683,50.146,9.463,3.317,0.488,6.365,51.45,9.1,3.05,0.65
Cody Weightman,Western Bulldogs,3,25,25.95,179,Gen. Forward,2020,76,126,5,6,0,,7.962,60.158,9.816,4.711,1.658,8.035,65.95,10.55,4.9,1.5
Connor Budarick,Western Bulldogs,19,25,25.73,175,Gen. Forward,2020,55,7,2,2,19,6,5.307,54.127,12.327,3.8,0.127,4.24,47.55,11.8,3.6,0.3
Cooper Hynes,Western Bulldogs,6,20,20.83,190,Gen. Forward,2025,8,4,0,,8,4,3.55,27.625,6.25,3.25,0.5,3.55,27.625,6.25,3.25,0.5
Ed Richards,Western Bulldogs,20,27,27.49,188,Midfielder,2018,148,58,4,1,23,22,11.408,78.054,17.703,6.486,0.392,19.525,113,25.75,10.9,1.05
Harvey Gallagher,Western Bulldogs,12,23,23.26,181,Gen. Defender,2024,25,9,1,0,5,0,4.56,43.48,12.08,3.28,0.36,4.22,42.25,12.05,3.5,0.25
James Harmes,Western Bulldogs,22,31,31.23,186,Midfielder,2015,174,94,9,3,13,9,9.194,75.08,18.23,7.494,0.54,9.11,70.05,16.85,6.15,0.8
James O'Donnell,Western Bulldogs,18,24,24.33,197,Key Defender,2023,48,7,1,0,22,4,6.083,50.271,10.104,3.458,0.146,7.43,55.9,10.5,3.65,0.1
Jedd Busslinger,Western Bulldogs,5,22,22.8,198,Key Defender,2025,7,0,0,,7,0,4.2,44.143,9.714,2,0,4.2,44.143,9.714,2,0
Joel Freijah,Western Bulldogs,27,21,21.12,191,Mid-Forward,2024,36,19,1,0,23,18,10.983,75.556,17.861,6.389,0.528,12.325,77.25,18.5,6.9,0.8
Jordan Croft,Western Bulldogs,16,21,21.63,201,Key Forward,2025,2,4,0,,2,4,7.3,64.5,11.5,7,2,7.3,64.5,11.5,7,2
Josh Dolan,Western Bulldogs,26,20,20.13,177,Gen. Forward,2025,11,1,0,,11,1,4.009,27.455,7.818,2.727,0.091,4.009,27.455,7.818,2.727,0.091
Lachie Jaques,Western Bulldogs,11,20,20.58,185,Gen. Defender,,0,,,,0,,,,,,,,,,,
Lachlan Bramble,Western Bulldogs,29,28,28.7,182,Gen. Defender,2021,77,9,1,0,23,5,7.695,66.987,17.481,3.649,0.117,7.225,67.15,17.55,3.15,0.25
Lachlan Carmichael,Western Bulldogs,2,19,19.34,185,Gen. Defender,,0,,,,0,,,,,,,,,,,
Lachlan McNeil,Western Bulldogs,30,25,25.32,184,Gen. Forward,2021,75,42,1,0,21,17,5.512,43.307,8.827,4,0.56,5.935,45.55,9.2,4.2,0.75
Lachlan Smith,Western Bulldogs,40,21,21.23,203,Ruck,,0,,,,0,,,,,,,,,,,
Laitham Vandermeer,Western Bulldogs,23,27,27.9,182,Gen. Forward,2020,87,44,6,3,19,13,5.37,48.552,10.414,3.425,0.506,6.26,47.55,10.4,3.85,0.7
Louis Emmett,Western Bulldogs,25,19,19.77,199,Ruck,,0,,,,0,,,,,,,,,,,
Luke Cleary,Western Bulldogs,36,24,24.82,191,Gen. Defender,2022,23,2,0,,16,2,6.174,52.13,11.739,3.435,0.087,6.54,53.15,12.05,3.5,0.1
Luke Kennedy,Western Bulldogs,35,20,20.22,180,Midfielder,,0,,,,0,,,,,,,,,,,
Marcus Bontempelli,Western Bulldogs,4,31,31.1,194,Midfielder,2014,258,253,13,12,18,21,16.685,113.089,24.136,11.426,0.981,19.265,126.5,26.35,11.65,1.15
Matthew Kennedy,Western Bulldogs,8,29,29.73,188,Midfielder,2016,141,78,3,1,23,21,9.394,76.773,18.674,7.851,0.553,12.625,94.1,23.35,9,0.95
Michael Sellwood,Western Bulldogs,37,23,23.24,186,Gen. Defender,,0,,,,0,,,,,,,,,,,
Nick Coffield,Western Bulldogs,17,27,27.18,191,Gen. Defender,2018,64,2,2,0,4,0,5.809,61.75,14.031,3.609,0.031,4.05,51.15,11.75,2.85,0
Oskar Baker,Western Bulldogs,13,28,28.6,184,Midfielder,2019,48,14,0,,9,1,5.925,52.667,13.896,3.229,0.292,6.405,56.35,14.3,3.45,0.35
Rhylee West,Western Bulldogs,14,26,26.47,183,Gen. Forward,2019,81,85,1,0,23,39,8.416,61.321,11.864,5.333,1.049,11.805,72.7,13.8,6.2,1.85
Riley Garcia,Western Bulldogs,38,25,25.91,178,Mid-Forward,2021,39,15,0,,8,2,7.403,52.128,13.077,5.795,0.385,8.005,62.25,15,6.55,0.35
Rory Lobb,Western Bulldogs,7,33,33.89,207,Key Defender,2014,199,175,10,6,23,3,9.74,74.206,11.342,6.035,0.879,9.72,66.15,12.15,4.9,0.15
Ryan Gardner,Western Bulldogs,43,29,29.58,197,Key Defender,2019,54,3,5,0,1,0,6.804,52.241,8.87,3.167,0.056,9.12,61.3,10.25,3.75,0.05
Ryley Sanders,Western Bulldogs,9,21,21.94,186,Mid-Forward,2024,35,13,0,,21,13,7.869,67.429,17.743,5.257,0.371,8.615,70.75,18.75,5.15,0.55
Sam Darcy,Western Bulldogs,10,23,23.45,208,Key Forward,2022,45,89,2,2,17,48,10.578,78.911,12.467,7.556,1.978,15.06,96.35,14.35,8.8,2.9
Sam Davidson,Western Bulldogs,42,25,25.04,191,Midfielder,2025,19,13,0,,19,13,8.905,63.895,15.526,4.526,0.684,8.905,63.895,15.526,4.526,0.684
Tim English,Western Bulldogs,44,29,29.39,208,Ruck,2017,154,90,8,2,23,13,11.827,101.071,15.708,7.182,0.584,12.95,115.1,18.45,8.15,0.65
Tom Liberatore,Western Bulldogs,21,34,34.62,184,Midfielder,2011,257,91,10,4,23,6,14.31,98.681,22.872,12.296,0.354,14.41,107.8,25.85,12.05,0.2
Will Darcy,Western Bulldogs,15,19,19.8,198,Key Defender,,0,,,,0,,,,,,,,,,,
Zac Walker,Western Bulldogs,41,20,20.83,191,Key Defender,,0,,,,0,,,,,,,,,,,
